COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE;SITUACAO
2701407;2727;Campo Alegre;CAMPO ALEGRE;AL;Alagoas;57537;0;NE;0,57;0,742;0,47;0,531;Aprovado
4203303;8063;Campo Alegre;CAMPO ALEGRE;SC;Santa Catarina;11981;0;S;0,714;0,845;0,636;0,677;Aprovado
5204805;9295;Campo Alegre de Goiás;CAMPO ALEGRE DE GOIAS;GO;Goiás;7738;0;CO;0,694;0,811;0,586;0,702;Não Cadastrado
2905909;3417;Campo Alegre de Lourdes;CAMPO ALEGRE DE LOURDES;BA;Bahia;28820;0;NE;0,557;0,778;0,43;0,516;Aprovado
2202117;290;Campo Alegre do Fidalgo;CAMPO ALEGRE DO FIDALGO;PI;Piauí;5069;0;NE;0,537;0,762;0,385;0,528;Não Cadastrado
3111150;580;Campo Azul;CAMPO AZUL;MG;Minas Gerais;3824;0;SE;0,621;0,799;0,546;0,55;Aprovado
3111200;4223;Campo Belo;CAMPO BELO;MG;Minas Gerais;54186;0;SE;0,711;0,868;0,586;0,706;Aprovado
4203402;8065;Campo Belo do Sul;CAMPO BELO DO SUL;SC;Santa Catarina;6952;0;S;0,641;0,768;0,528;0,648;Em Cadastro
4303905;8577;Campo Bom;CAMPO BOM;RS;Rio Grande do Sul;69458;0;S;0,745;0,852;0,643;0,755;Aprovado
4104055;8475;Campo Bonito;CAMPO BONITO;PR;Paraná;3763;0;S;0,681;0,813;0,562;0,69;Aprovado
2801009;3119;Campo do Brito;CAMPO DO BRITO;SE;Sergipe;18218;0;NE;0,621;0,793;0,484;0,625;Aprovado
3111309;4225;Campo do Meio;CAMPO DO MEIO;MG;Minas Gerais;11651;0;SE;0,683;0,827;0,588;0,655;Não Cadastrado
4104105;7479;Campo do Tenente;CAMPO DO TENENTE;PR;Paraná;8045;0;S;0,686;0,806;0,606;0,661;Aprovado
4203501;8067;Campo Erê;CAMPO ERE;SC;Santa Catarina;8418;0;S;0,69;0,787;0,595;0,702;Aprovado
3111408;4227;Campo Florido;CAMPO FLORIDO;MG;Minas Gerais;8269;0;SE;0,706;0,858;0,558;0,735;Não Cadastrado
2906006;3419;Campo Formoso;CAMPO FORMOSO;BA;Bahia;71487;0;NE;0,586;0,749;0,475;0,566;Aprovado
2401305;1625;Campo Grande;CAMPO GRANDE;RN;Rio Grande do Norte;9670;0;NE;0,621;0,774;0,495;0,624;Aprovado
2701506;2729;Campo Grande;CAMPO GRANDE;AL;Alagoas;9567;0;NE;0,524;0,739;0,387;0,502;Aprovado
5002704;9051;Campo Grande;CAMPO GRANDE;MS;Mato Grosso do Sul;906092;1;CO;0,784;0,844;0,724;0,79;Aprovado
2202133;292;Campo Grande do Piauí;CAMPO GRANDE DO PIAUI;PI;Piauí;5965;0;NE;0,56;0,721;0,446;0,545;Aprovado
4104204;7481;Campo Largo;CAMPO LARGO;PR;Paraná;133865;0;S;0,745;0,854;0,664;0,73;Aprovado
2202174;294;Campo Largo do Piauí;CAMPO LARGO DO PIAUI;PI;Piauí;7311;0;NE;0,528;0,766;0,401;0,479;Aprovado
5204854;1070;Campo Limpo de Goiás;CAMPO LIMPO DE GOIAS;GO;Goiás;7940;0;CO;0,661;0,829;0,533;0,654;Não Cadastrado
3509601;6293;Campo Limpo Paulista;CAMPO LIMPO PAULISTA;SP;São Paulo;85541;0;SE;0,769;0,84;0,739;0,733;Aprovado
4104253;842;Campo Magro;CAMPO MAGRO;PR;Paraná;29740;0;S;0,701;0,828;0,607;0,685;Aprovado
2202208;1043;Campo Maior;CAMPO MAIOR;PI;Piauí;46893;0;NE;0,656;0,793;0,566;0,629;Aprovado
4104303;7483;Campo Mourão;CAMPO MOURAO;PR;Paraná;95488;0;S;0,757;0,841;0,689;0,749;Aprovado
4304002;8579;Campo Novo;CAMPO NOVO;RS;Rio Grande do Sul;4376;0;S;0,703;0,866;0,593;0,677;Aprovado
1100700;679;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;RO;Rondônia;14266;0;N;0,593;0,772;0,404;0,667;Não Cadastrado
5102637;9777;Campo Novo do Parecis;CAMPO NOVO DO PARECIS;MT;Mato Grosso;36143;0;CO;0,734;0,819;0,649;0,745;Aprovado
2402105;1641;Campo Redondo;CAMPO REDONDO;RN;Rio Grande do Norte;11291;0;NE;0,626;0,758;0,584;0,554;Aprovado
5102678;9779;Campo Verde;CAMPO VERDE;MT;Mato Grosso;45740;0;CO;0,75;0,834;0,67;0,755;Aprovado
3111507;4229;Campos Altos;CAMPOS ALTOS;MG;Minas Gerais;15563;0;SE;0,702;0,86;0,582;0,69;Aprovado
5204904;9297;Campos Belos;CAMPOS BELOS;GO;Goiás;20007;0;CO;0,692;0,815;0,616;0,661;Não Cadastrado
4304101;8445;Campos Borges;CAMPOS BORGES;RS;Rio Grande do Sul;3295;0;S;0,708;0,819;0,616;0,704;Aprovado
5102686;1032;Campos de Júlio;CAMPOS DE JULIO;MT;Mato Grosso;7070;0;CO;0,744;0,825;0,625;0,8;Em Análise
3509700;6295;Campos do Jordão;CAMPOS DO JORDAO;SP;São Paulo;52405;0;SE;0,749;0,852;0,648;0,761;Aprovado
3301009;5819;Campos dos Goytacazes;CAMPOS DOS GOYTACAZES;RJ;Rio de Janeiro;511168;0;SE;0,716;0,83;0,619;0,715;Aprovado
3111606;4231;Campos Gerais;CAMPOS GERAIS;MG;Minas Gerais;28842;0;SE;0,682;0,821;0,58;0,666;Em Cadastro
1703842;173;Campos Lindos;CAMPOS LINDOS;TO;Tocantins;10312;0;N;0,544;0,738;0,377;0,578;Não Cadastrado
4203600;8069;Campos Novos;CAMPOS NOVOS;SC;Santa Catarina;36556;0;S;0,742;0,861;0,658;0,721;Aprovado
3509809;6297;Campos Novos Paulista;CAMPOS NOVOS PAULISTA;SP;São Paulo;4997;0;SE;0,706;0,824;0,638;0,67;Aprovado
2302701;1353;Campos Sales;CAMPOS SALES;CE;Ceará;27470;0;NE;0,63;0,769;0,556;0,584;Aprovado
5204953;9781;Campos Verdes;CAMPOS VERDES;GO;Goiás;1830;0;CO;0,654;0,796;0,577;0,608;Não Cadastrado
2603603;2371;Camutanga;CAMUTANGA;PE;Pernambuco;8572;0;NE;0,606;0,76;0,514;0,57;Aprovado
3111903;4237;Cana Verde;CANA VERDE;MG;Minas Gerais;5594;0;SE;0,65;0,821;0,512;0,652;Aprovado
3111705;4233;Canaã;CANAA;MG;Minas Gerais;4548;0;SE;0,649;0,798;0,532;0,644;Aprovado
1502152;48;Canaã dos Carajás;CANAA DOS CARAJAS;PA;Pará;38103;0;N;0,673;0,801;0,569;0,67;Aprovado
5102694;129;Canabrava do Norte;CANABRAVA DO NORTE;MT;Mato Grosso;4728;0;CO;0,667;0,817;0,589;0,616;Aprovado
3509908;6299;Cananéia;CANANEIA;SP;São Paulo;12541;0;SE;0,72;0,851;0,649;0,677;Aprovado
