UF;MUNICIPIOS;TRANSFERIDO;SALDO_CONTA;PORCENT_SALDO;PORCENT_EXECUTADO
PE;AGUAS BELAS;329031.39;53115.49;0.16142985628210121;0.8385701437178987
SP;AGUAS DA PRATA;71162.24;51507.14;0.7237987449523792;0.27620125504762083
SP;AGUAS DE LINDOIA;155712.85;156762.25;10.067.393.281.928.800;0
SP;AGUAS DE SANTA BARBARA;59144.1;59538.47;10.066.679.516.638.100;0
SP;AGUAS DE SAO PEDRO;44162.82;17868.82;0.4046122960445008;0.5953877039554992
MG;AGUAS FORMOSAS;161550.86;87.15;0.000539458595268388;0.9994605414047316
SC;AGUAS FRIAS;35221.61;11823.18;0.3356797148114467;0.6643202851885532
GO;AGUAS LINDAS DE GOIAS;1436914.72;684074.93;0.4760720455282134;0.5239279544717865
SC;AGUAS MORNAS;58646.99;59040.3;10.067.063.970.375.900;0
MG;AGUAS VERMELHAS;111894.21;20851.56;0.18635066103956585;0.8136493389604341
RS;AGUDO;141154.8;3231.26;0.022891605528115234;0.9771083944718848
SP;AGUDOS;277693.43;189527.33;0.6825056322002289;0.31749436779977114
ES;AGUIA BRANCA;48000;48319.72;10.066.608.333.333.300;0
PB;AGUIAR;57912.93;932.46;0.016101067585425226;0.9838989324145748
TO;AGUIARNOPOLIS;58468.36;58858.22;10.066.678.798.584.300;0
MG;AIMORES;204226.85;23650.73;0.11580617338023869;0.8841938266197613
BA;AIQUARA;52329.33;52678.26;10.066.679.623.071.800;0
CE;AIUABA;152724.12;45003.74;0.2946734281395761;0.7053265718604239
RS;AJURICABA;63688.5;19.71;0.00030947502296332935;0.9996905249770367
PB;ALAGOA GRANDE;222686.02;0;0;1
PB;ALAGOA NOVA;170456.66;33871.95;0.1987129748993087;0.8012870251006913
PB;ALAGOINHA;125576.33;0;0;1
PE;ALAGOINHA;128562.31;752.41;0.00585249284957621;0.9941475071504238
PI;ALAGOINHA DO PIAUI;65023.86;9.71;0.00014932979986115866;0.9998506702001388
BA;ALAGOINHAS;1136090.1;161442.06;0.14210321874999174;0.8578967812500082
MG;ALBERTINA;43114.66;0;0;1
CE;ALCANTARAS;102470;24.51;0.00023919195862203574;0.999760808041378
PB;ALCANTIL;57067.95;715.52;0.012538035797676279;0.9874619642023237
BA;ALCOBACA;182179.93;183385.53;1.006.617.633.457.200;0
RS;ALECRIM;57556.77;1.99;0.00003457456003872351;0.9999654254399613
ES;ALEGRE;237379.93;3071.36;0.01293858330820133;0.9870614166917987
RS;ALEGRETE;522353.11;39879.47;0.07634580753237978;0.9236541924676203
PI;ALEGRETE DO PIAUI;49402.72;49738.67;10.068.002.328.616.700;0
RS;ALEGRIA;43363.59;6.43;0.00014828108097138636;0.9998517189190286
MG;ALEM PARAIBA;271084.49;33915.22;0.1251094077717246;0.8748905922282754
PA;ALENQUER;398606.58;3703.45;0.009290990630410566;0.9907090093695894
RN;ALEXANDRIA;120405.22;3.21;0.00002665997371210318;0.9999733400262879
GO;ALEXANIA;212943.46;214393.5;10.068.095.070.869.900;0
MG;ALFENAS;569152.39;4277.37;0.007515333459286712;0.9924846665407133
ES;ALFREDO CHAVES;124374.71;1248.2;0.010035802294533993;0.989964197705466
SC;ALFREDO WAGNER;79012.16;79538.45;10.066.608.734.655.500;0
PB;ALHANDRA;163258.96;164349.9;10.066.822.672.397.200;0
PE;ALIANCA;300159.32;79041.39;0.26333145344279163;0.7366685465572084
TO;ALIANCA DO TOCANTINS;50800.73;51145.89;1.006.794.390.553.040;0
